Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach
260,27,13,12,1405.183189868927,52,0.8441567792183401,0.6,0.12969949257033273,0.8816043053170869
261,18,7,9,715.2706325054169,50,0.7822365028773934,0.6666666666666666,0.4443965837059074,0.9366693079866036
262,30,19,10,1826.1111261844635,49,0.42541778479996445,1.0,0.14635343488791067,0.831056176097089
263,27,9,12,707.8349635601044,38,0.7423956964262327,0.8,0.1560454730413042,0.8660471093196958
264,23,10,9,688.229218006134,36,0.8803123133062104,0.5333333333333333,0.12877845207095587,0.8816898986873113
265,27,14,9,1325.4201502799988,53,0.8444884680933414,0.5333333333333333,0.14126382225840656,0.8583536785408968
266,25,9,11,654.743001461029,39,1.0321142603567408,0.6666666666666666,0.28151236878845937,0.9451658738748162
267,28,13,11,510.5535092353821,38,0.7619044631266264,0.6666666666666666,0.14218959566481604,0.9516044322114849
268,24,6,13,156.54074597358704,22,0.943561551460443,0.5333333333333333,0.6763110549348534,0.8787292106514468
269,26,7,11,748.3355236053467,56,0.6958726106824138,0.6666666666666666,0.13791883482793343,0.8345767263219176
270,26,8,15,568.8568427562714,53,0.829834522151674,0.6666666666666666,0.13107907452456724,0.9377844683382915
271,26,13,12,473.34779810905457,35,0.8049939471629971,0.7333333333333333,0.14035310186959155,0.7515008881846884
272,24,13,10,1016.6369059085846,42,0.6170161784207634,0.9333333333333333,0.1383816528705767,0.8430413572477201
273,32,17,11,1552.0439257621765,47,0.5452675966567829,0.9333333333333333,0.13508206007636653,0.9707377268661079
274,27,12,11,527.4076826572418,42,0.8222259262990561,0.6666666666666666,0.13231086427544866,0.7312037720981388
275,31,15,11,402.4610767364502,26,0.9086344467685575,0.6,0.12966599325850564,0.885988657760856
276,29,16,10,451.61439990997314,30,0.5019716033034362,0.8666666666666667,0.14035115126494085,0.9479578426177667
277,29,16,6,617.1642572879791,24,0.5598685058975507,0.8,0.1332703686633416,0.7328324346410454
278,26,14,8,251.36429929733276,21,0.7730304917874605,0.7333333333333333,0.14002604411221972,0.8523593750510057
279,25,11,11,285.0308973789215,26,0.797138311986211,0.6,0.13786906201966603,0.9717844643217649
280,22,9,13,428.3463897705078,39,0.7359746887425997,0.7333333333333333,0.1315422302805227,0.9179632666586506
281,26,11,10,962.9110260009766,46,0.6526402794933284,0.7333333333333333,0.14204084370706568,0.8866848581179056
282,30,20,7,1327.7471280097961,41,0.8207171941908855,0.6666666666666666,0.12534894453162448,0.7917992613777244
283,25,9,8,726.7545404434204,50,0.7495720290759833,0.7333333333333333,0.2608749532665753,0.8723232329202473
284,27,12,10,241.2514464855194,21,0.7716563907478561,0.6666666666666666,0.12222332992135321,0.7549702697301554
285,22,5,16,218.5297873020172,31,1.2522158683810996,0.13333333333333333,0.44070974437090155,0.7499987156362528
286,28,16,8,635.5978367328644,46,0.6169733337807141,0.8,0.13504318304126295,0.7702065022248454
287,25,8,14,709.2765114307404,36,0.6233295351508806,0.8,0.1358149568310041,1.0000009796819251
288,28,13,12,671.2256603240967,45,0.7468321487447158,0.7333333333333333,0.1556526657134367,0.9553522248575728
289,33,22,10,1864.329371213913,82,0.4971052591748183,0.8666666666666667,0.14224764173049448,0.9591618440683924
290,26,13,11,798.9269454479218,61,0.5060385121590578,0.7333333333333333,0.13362236900803343,0.9143488808520892
291,23,9,12,1111.8567843437195,58,0.8978315654151856,0.6,0.2838271096466442,0.7270652436888486
292,22,9,10,558.1379880905151,63,0.8496206041004544,0.4666666666666667,0.27642582144209227,0.9081437330085174
293,25,8,14,287.5315828323364,29,0.6897538472325656,0.7333333333333333,0.14424611433353718,0.9392007990300187
294,28,13,12,1176.3544175624847,42,0.520493298637895,0.7333333333333333,0.1250457091206348,0.8488122780372268
295,30,13,11,1297.076984167099,51,0.3318276638947554,0.8666666666666667,0.13647270984744578,0.8430507068353974
296,26,11,11,567.4792718887329,48,0.4631204215579788,0.9333333333333333,0.14412354176888093,0.8993755997951014
297,28,12,11,565.0309646129608,44,0.4880952437740868,0.9333333333333333,0.14314946333440542,0.7680636452365331
298,24,8,14,407.27236819267273,40,0.7414006273841609,0.6,0.29362499874172077,0.6524408624269767
299,27,9,11,295.2614462375641,29,0.8519580713597904,0.4,0.14007317696195595,0.734787303689371
300,27,10,12,1080.7030396461487,52,0.8353146877700609,0.7333333333333333,0.1296964805933296,0.9304630522774298
301,23,10,11,332.7088758945465,35,0.7399732210503218,0.6,0.14796403837755145,0.8616957326832556
302,28,19,5,587.209508895874,42,0.6642855237837655,0.8666666666666667,0.13087993080423024,0.8693637183862765
303,23,9,10,883.0623054504395,54,0.8712867874311316,0.7333333333333333,0.13494009701299092,0.8314476269476504
304,28,11,11,544.334287405014,50,0.538815338761651,0.6666666666666666,0.1363425084504792,0.9851463376619735
305,31,18,9,1074.9387118816376,30,0.7382904431690692,0.8,0.15112030912172514,0.966343645184732
306,26,12,13,425.96471643447876,31,0.8493604053772666,0.6666666666666666,0.16005537875537376,0.8215972692236708
307,23,9,11,512.5717625617981,29,0.5966370823430617,0.8666666666666667,0.13896420791074093,0.7383490606573327
308,27,12,14,447.6075165271759,31,0.741590582195801,0.8666666666666667,0.13586167190356124,0.7144514826480666
309,27,14,9,1689.3243832588196,65,0.42818368933234974,0.7333333333333333,0.14013666061953442,0.9102258973887228
310,31,19,9,1761.0745122432709,86,0.3686708564132497,1.0,0.1418464845242489,0.7223909892657845
311,22,8,14,439.60138511657715,23,0.9227287166433575,0.4666666666666667,0.1278674378071546,0.7459489319954135
312,27,12,11,624.653062582016,52,0.6424893622792618,0.8666666666666667,0.1404945628079614,0.6815591616969917
313,22,7,10,177.478910446167,24,1.282711026140656,0.4,0.14513136348501943,0.856916351844246
314,26,13,13,676.6683106422424,46,0.3778609870850483,1.0,0.14528885114307583,0.9555946370215277
315,24,8,10,948.6640558242798,57,0.8745613258158135,0.4666666666666667,0.1338430217585438,0.7618852081870321
316,28,16,8,990.1733620166779,68,0.8457140954612735,0.6666666666666666,0.1332433250287895,0.8149021693409674
317,23,12,10,1057.7476370334625,47,0.5759938803666198,0.6666666666666666,0.1313741137265056,0.6423816226680832
318,25,10,11,284.3033027648926,27,0.814913021936071,0.7333333333333333,0.12893401887614972,0.9473678554717293
319,25,8,14,597.4055812358856,55,0.5206759830542155,0.9333333333333333,0.13438308863989715,0.9647272693762587
320,27,9,14,842.3651053905487,38,0.7843424583292821,0.7333333333333333,0.13904947519885724,0.8174860225894391
321,24,12,12,637.9999132156372,25,0.7081336348622103,0.6,0.13367173876810404,0.9545016336022499
322,27,13,10,377.96424078941345,30,0.5616591883448,0.9333333333333333,0.13637825428472636,0.9194736812474622
323,25,7,12,213.17671394348145,26,1.0081970533321207,0.6,0.6840786897431002,0.7499988968895225
324,28,11,12,391.3653202056885,31,1.015110725647991,0.5333333333333333,0.13510223013323827,0.7735589059872677
325,25,16,7,367.536337852478,29,0.7519014169175434,0.6666666666666666,0.13402819538000152,0.9351789730470168
326,27,14,12,591.4999177455902,38,0.7484135230417911,0.7333333333333333,0.14219279253538541,0.8825423317518787
327,27,11,11,236.1718680858612,21,0.8673179250372364,0.8666666666666667,0.28645356607338024,1.0000009471704772
328,28,13,11,513.1830413341522,38,0.7351963881044116,0.8666666666666667,0.1307599062820813,0.8715233388534028
329,27,8,12,388.66654086112976,42,0.8099004415551432,0.8666666666666667,0.13821356725128206,0.8704335614756493
330,24,16,8,383.42952847480774,27,0.7013198605998618,0.8,0.13625297752801085,0.8867125634272912
331,29,14,10,1004.9990539550781,36,0.6849125009300515,0.8,0.14663924316496504,0.9104970712059364
332,27,12,10,1368.3952860832214,56,0.6832204883595896,0.8,0.1389106946483372,0.8116535774844503
333,24,8,10,285.0040361881256,35,0.9421161642798961,0.6,0.14194577835438305,0.9481038253618354
334,30,18,8,1255.4753346443176,39,0.7062769750903347,0.6666666666666666,0.14315306652880447,0.976209608881677
335,25,12,11,300.0707015991211,23,0.9442879438474686,0.4,0.13720260838353981,0.999998839620488
336,29,13,11,1480.0725944042206,55,0.69409928879601,0.8666666666666667,0.13564100858210104,0.8688432850893517
337,31,16,8,1115.7764234542847,76,0.4657295721419672,1.0,0.12858401356905594,0.8601906976222574
338,29,16,8,554.6666553020477,40,0.831249768707933,0.6666666666666666,0.13972051377160494,0.8866314335946461
339,22,7,11,274.2521789073944,21,0.8726514303268345,0.6,0.305329704694626,0.7608167558934025
340,31,15,11,490.4768989086151,30,0.7868190793232933,0.6,0.12646897197335893,0.9519221237145851
341,22,11,8,774.8208992481232,39,0.6030425115769067,0.5333333333333333,0.13958143867416573,1.0000002693208674
342,34,20,7,1169.7715499401093,65,0.5179439565413805,0.8666666666666667,0.14934461815232974,0.8161282140788774
