Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach,FP1,FP2,DKL
237,28,16,7,711.5186011791229,52,0.5678144846741442,0.8,0.13967452692932553,0.8360446245008174,0.06379622920544618,0.00992335453322514,0.1053508255572677
238,20,9,7,321.6468026638031,45,0.8613597008189561,0.6666666666666666,0.29085697273211547,0.7079428762076556,0.1264610796218605,0.04175409567757081,0.8967920864255606
239,30,16,11,1866.2265286445618,64,0.7005916125279412,0.6666666666666666,0.14357979796099365,0.7259511918022747,0.05940304685815016,0.011829139489824492,0.43548545507277603
240,31,17,9,628.0344595909119,22,0.8348935541749293,0.6666666666666666,0.13975204453183426,0.8486739753534508,0.0640973879167002,0.009347341876228323,0.08082461611783254
241,27,15,7,696.0027055740356,32,0.9390621050843847,0.6,0.136104263601357,0.7949151356147196,0.06397609568915259,0.013629754601958626,0.3836723965092847
242,30,13,9,953.1479196548462,41,0.6132660899142915,0.7333333333333333,0.1311428687907182,0.8819062829406744,0.06178324693544432,0.013324327062096197,0.4087691313280476
243,30,16,9,1935.8357212543488,82,0.7475028286966781,0.6666666666666666,0.14013284982200452,0.8791200196105625,0.06305540358385667,0.0108343714375274,0.18940841090147686
244,25,11,9,538.5064508914948,28,0.6992931002425885,0.7333333333333333,0.14274136040264324,0.7278282160603601,0.06434154557175287,0.01300126348175159,0.35166431149492583
245,26,11,11,1122.196121454239,54,0.4600984893270951,0.8,0.2690368229267707,0.9157084724406513,0.1254319180310571,0.040497185708499375,0.8075037866446152
246,23,11,11,739.6734397411346,35,0.9382297417797695,0.6666666666666666,0.13318407762610207,0.9123946527494549,0.06336747849684728,0.01054852236228318,0.1465865205107024
247,25,12,9,863.3586893081665,43,0.7041472419462994,0.7333333333333333,0.13779843185855595,0.8542989534241603,0.06087365243081424,0.00956556865180822,0.1324490710495739
248,22,9,11,587.3410406112671,33,0.6383048027596224,0.8,0.1315478183314675,0.8883477279959098,0.061347178045967676,0.01227548116718636,0.33805088214334056
249,28,11,9,575.4054200649261,29,0.8932824230893943,0.6666666666666666,0.12342329060813449,0.9854294395005618,0.06337517223380307,0.010120221544280042,0.12144172041668003
250,31,23,7,1204.6593079566956,38,0.5608349538447117,0.6666666666666666,0.14253685389690793,0.8820590889918488,0.062174805159033245,0.008996335300451509,0.0852748625384379
251,27,15,10,790.1505637168884,29,0.6209678919167599,0.9333333333333333,0.1288221743467071,0.7640886754265824,0.06232451447950119,0.012286087057214044,0.3339522203319062
252,26,10,11,897.0307650566101,45,0.81981982872715,0.8,0.29521282112679464,1.0000037958284398,0.12696641758905738,0.048201755977663734,1.226239419302716
253,25,11,11,655.8179411888123,30,0.6079352426279276,0.8,0.28926983127668504,0.8811432449677079,0.12297091231884708,0.032489441267480955,0.5254501614992168
254,26,11,12,664.4473669528961,29,0.6343128427713113,1.0,0.13747848754332503,0.7887200200595682,0.05800580908280788,0.014008301044524779,0.7142776937827835
255,25,12,9,728.8955285549164,32,0.9085505798007301,0.5333333333333333,0.13472646827612683,0.8676642774380278,0.06214450843202858,0.010958775723275017,0.1990752114633479
256,21,6,8,389.4339973926544,38,0.9602896756369238,0.6,0.13753005900927204,0.9417575340704449,0.062336209213767264,0.01597568572232652,0.7735971391662703
